Node,Depth,Value
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
B8,4,4
A5,3,0
B7,2,0
A7,3,Infinity
B8,4,-Infinity
A5,5,Infinity
B9,6,4
A5,5,4
B8,4,4
A9,5,Infinity
B9,6,4
A9,5,4
B8,4,4
A7,3,4
B7,2,4
A9,3,Infinity
B6,4,-Infinity
A5,5,Infinity
B8,6,-Infinity
A8,7,-2
B8,6,-2
A5,5,-2
B6,4,-2
A8,5,Infinity
B8,6,-Infinity
A5,7,-2
B8,6,-2
A8,5,-2
B6,4,-2
A9,3,-2
B8,4,-Infinity
A5,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A5,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A5,5,-2
B8,4,-2
A7,5,Infinity
B6,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B6,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B6,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B6,6,2
A7,5,2
B9,6,-Infinity
A5,7,Infinity
B6,8,2
A5,7,2
B9,6,2
A6,7,Infinity
B6,8,2
A6,7,2
B9,6,2
A8,7,Infinity
B6,8,2
A8,7,2
B9,6,2
A7,5,2
B8,4,2
A8,5,Infinity
B6,6,-Infinity
A5,7,-4
B6,6,-4
A8,5,-4
B9,6,-Infinity
A5,7,Infinity
B6,8,-4
A5,7,-4
B9,6,-4
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,5,-4
B8,4,2
A9,3,-2
B7,2,4
A10,1,2
B8,2,-Infinity
A5,3,Infinity
B6,4,-Infinity
A7,5,-2
B6,4,-2
A5,3,-2
B7,4,-Infinity
A7,5,0
B7,4,0
A5,3,-2
B8,2,-2
A7,3,Infinity
B7,4,0
A7,3,0
B8,2,0
A10,1,0
A2,1,4
root,0,4
A5,1,Infinity
B6,2,-Infinity
A2,3,-Infinity
A7,3,Infinity
B7,4,-Infinity
A10,5,0
B7,4,0
A7,3,0
B8,4,-Infinity
A10,5,0
B8,4,0
A7,3,0
A2,3,0
A9,3,Infinity
B7,4,-Infinity
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A9,3,4
A2,3,4
A10,3,Infinity
B7,4,-Infinity
A7,5,-2
B7,4,-2
A10,3,-2
B8,4,-Infinity
A7,5,-2
B8,4,-2
A10,3,-2
A2,3,4
B6,2,4
A7,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A10,5,0
A2,5,0
B7,4,0
A10,5,Infinity
B8,6,-Infinity
A2,7,0
B8,6,0
A10,5,0
B7,4,0
A7,3,0
B8,4,-Infinity
A2,5,-Infinity
A10,5,0
A2,5,0
B8,4,0
A10,5,Infinity
B7,6,-Infinity
A2,7,0
B7,6,0
A10,5,0
B8,4,0
A7,3,0
B6,2,4
A9,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A7,5,Infinity
B8,6,4
A7,5,4
A2,5,4
A10,5,Infinity
B8,6,4
A10,5,4
A2,5,4
B7,4,4
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A9,3,4
B6,2,4
A10,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A7,5,-2
A2,5,-2
B7,4,-2
A7,5,Infinity
B8,6,-Infinity
A2,7,-2
B8,6,-2
A7,5,-2
B7,4,-2
A10,3,-2
B8,4,-Infinity
A2,5,-Infinity
A7,5,-2
A2,5,-2
B8,4,-2
A7,5,Infinity
B7,6,-Infinity
A2,7,-2
B7,6,-2
A7,5,-2
B8,4,-2
A10,3,-2
B6,2,4
A5,1,4
B7,2,-Infinity
A2,3,-Infinity
A7,3,Infinity
B8,4,-Infinity
A9,5,2
B8,4,2
A7,3,2
A2,3,2
A9,3,Infinity
B6,4,4
A9,3,4
A2,3,4
A10,3,Infinity
B6,4,-Infinity
A9,5,Infinity
B8,6,-Infinity
A8,7,0
B8,6,0
A9,5,0
B6,4,0
A10,3,0
B8,4,-Infinity
A7,5,Infinity
B9,6,4
A7,5,4
B8,4,4
A9,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
B8,4,4
A10,3,0
A2,3,4
B7,2,4
A7,3,Infinity
B8,4,-Infinity
A2,5,-Infinity
A9,5,2
A2,5,2
B8,4,2
A9,5,Infinity
B9,6,2
A9,5,2
B8,4,2
A7,3,2
B7,2,4
A9,3,Infinity
B6,4,4
A9,3,4
B7,2,4
A10,3,Infinity
B6,4,-Infinity
A2,5,-Infinity
A9,5,Infinity
B8,6,-Infinity
A8,7,0
B8,6,0
A9,5,0
A2,5,0
B6,4,0
A9,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A8,7,0
A2,7,0
B8,6,0
A8,7,Infinity
B9,8,0
A8,7,0
B8,6,0
A9,5,0
B6,4,0
A10,3,0
B8,4,-Infinity
A2,5,-Infinity
A7,5,Infinity
B9,6,4
A7,5,4
A2,5,4
A9,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
A2,5,4
B8,4,4
A7,5,Infinity
B9,6,4
A7,5,4
B8,4,4
A9,5,Infinity
B6,6,-Infinity
A2,7,-Infinity
A8,7,-2
A2,7,-2
B6,6,-2
A8,7,Infinity
B9,8,-2
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A2,7,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
A2,7,2
A8,7,Infinity
B6,8,-4
A8,7,-4
A2,7,2
B9,6,2
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
B8,4,4
A10,3,0
B7,2,4
A5,1,4
B8,2,-Infinity
A2,3,-Infinity
A7,3,Infinity
B7,4,2
A7,3,2
A2,3,2
A10,3,Infinity
B6,4,-Infinity
A7,5,0
B6,4,0
A10,3,0
B7,4,-Infinity
A7,5,2
B7,4,2
A10,3,0
A2,3,2
B8,2,2
A7,3,Infinity
B7,4,2
A7,3,2
B8,2,2
A10,3,Infinity
B6,4,-Infinity
A2,5,-Infinity
A7,5,0
A2,5,0
B6,4,0
A7,5,Infinity
B7,6,-Infinity
A2,7,0
B7,6,0
A7,5,0
B6,4,0
A10,3,0
B7,4,-Infinity
A2,5,-Infinity
A7,5,2
A2,5,2
B7,4,2
A7,5,2
B7,4,2
A10,3,0
B8,2,2
A5,1,2
root,0,4
A7,1,Infinity
B7,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B8,4,-Infinity
A9,5,2
B8,4,2
A5,3,2
A2,3,2
A9,3,8
A2,3,8
A10,3,Infinity
B8,4,-Infinity
A5,5,Infinity
B9,6,4
A5,5,4
B8,4,4
A9,5,Infinity
B9,6,4
A9,5,4
B8,4,4
A10,3,4
A2,3,8
B7,2,8
A5,3,Infinity
B8,4,-Infinity
A2,5,-Infinity
A9,5,2
A2,5,2
B8,4,2
A9,5,Infinity
B9,6,2
A9,5,2
B8,4,2
A5,3,2
B7,2,8
A9,3,8
B7,2,8
A10,3,Infinity
B8,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B9,6,4
A5,5,4
A2,5,4
A9,5,Infinity
B9,6,4
A9,5,4
A2,5,4
B8,4,4
A5,5,Infinity
B9,6,4
A5,5,4
B8,4,4
A9,5,Infinity
B9,6,4
A9,5,4
B8,4,4
A10,3,4
B7,2,8
A7,1,8
B8,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B7,4,2
A5,3,2
A2,3,2
A10,3,Infinity
B7,4,2
A10,3,2
A2,3,2
B8,2,2
A5,3,Infinity
B7,4,2
A5,3,2
B8,2,2
A10,3,Infinity
B7,4,2
A10,3,2
B8,2,2
A7,1,2
root,0,4
A9,1,Infinity
B6,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B7,4,-Infinity
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A5,3,4
A2,3,4
A7,3,Infinity
B7,4,-Infinity
A5,5,Infinity
B8,6,4
A5,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A7,3,4
A2,3,4
A10,3,Infinity
B7,4,-Infinity
A5,5,Infinity
B8,6,4
A5,5,4
B7,4,4
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,3,4
A2,3,4
B6,2,4
A5,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A7,5,Infinity
B8,6,4
A7,5,4
A2,5,4
A10,5,Infinity
B8,6,4
A10,5,4
A2,5,4
B7,4,4
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A5,3,4
B6,2,4
A7,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B8,6,4
A5,5,4
A2,5,4
A10,5,Infinity
B8,6,4
A10,5,4
A2,5,4
B7,4,4
A5,5,Infinity
B8,6,4
A5,5,4
B7,4,4
A10,5,Infinity
B8,6,4
A10,5,4
B7,4,4
A7,3,4
B6,2,4
A10,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B8,6,4
A5,5,4
A2,5,4
A7,5,Infinity
B8,6,4
A7,5,4
A2,5,4
B7,4,4
A5,5,Infinity
B8,6,4
A5,5,4
B7,4,4
A7,5,Infinity
B8,6,4
A7,5,4
B7,4,4
A10,3,4
B6,2,4
A9,1,4
B7,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B6,4,2
A5,3,2
A2,3,2
A7,3,6
A2,3,6
A10,3,Infinity
B6,4,2
A10,3,2
A2,3,6
B7,2,6
A5,3,Infinity
B6,4,2
A5,3,2
B7,2,6
A7,3,6
B7,2,6
A10,3,Infinity
B6,4,2
A10,3,2
B7,2,6
A9,1,4
root,0,4
A10,1,Infinity
B6,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B7,4,-Infinity
A7,5,-2
B7,4,-2
A5,3,-2
B8,4,-Infinity
A7,5,-2
B8,4,-2
A5,3,-2
A2,3,-2
A7,3,Infinity
B7,4,-Infinity
A5,5,-2
B7,4,-2
A7,3,-2
B8,4,-Infinity
A5,5,-2
B8,4,-2
A7,3,-2
A2,3,-2
A9,3,Infinity
B7,4,-Infinity
A5,5,Infinity
B8,6,-Infinity
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A5,5,2
B7,4,2
A7,5,Infinity
B8,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A7,5,2
B7,4,2
A8,5,Infinity
B8,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,5,2
B7,4,2
A9,3,2
B8,4,-Infinity
A5,5,Infinity
B7,6,-Infinity
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A5,5,2
B8,4,2
A7,5,Infinity
B7,6,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A6,7,Infinity
B8,8,2
A6,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A7,5,2
B8,4,2
A8,5,Infinity
B7,6,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,5,2
B8,4,2
A9,3,2
A2,3,2
B6,2,2
A5,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A7,5,-2
A2,5,-2
B7,4,-2
A7,5,Infinity
B8,6,-Infinity
A2,7,-2
B8,6,-2
A7,5,-2
B7,4,-2
A5,3,-2
B8,4,-Infinity
A2,5,-Infinity
A7,5,-2
A2,5,-2
B8,4,-2
A7,5,Infinity
B7,6,-Infinity
A2,7,-2
B7,6,-2
A7,5,-2
B8,4,-2
A5,3,-2
B6,2,2
A7,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A5,5,-2
A2,5,-2
B7,4,-2
A5,5,Infinity
B8,6,-Infinity
A2,7,-2
B8,6,-2
A5,5,-2
B7,4,-2
A7,3,-2
B8,4,-Infinity
A2,5,-Infinity
A5,5,-2
A2,5,-2
B8,4,-2
A5,5,Infinity
B7,6,-Infinity
A2,7,-2
B7,6,-2
A5,5,-2
B8,4,-2
A7,3,-2
B6,2,2
A9,3,Infinity
B7,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B8,6,-Infinity
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A5,5,2
A2,5,2
A7,5,Infinity
B8,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A7,5,2
A2,5,2
A8,5,Infinity
B8,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,5,2
A2,5,2
B7,4,2
A5,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A7,7,Infinity
B9,8,2
A7,7,2
A2,7,2
A8,7,Infinity
B9,8,2
A8,7,2
A2,7,2
B8,6,2
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A5,5,2
B7,4,2
A7,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
A2,7,2
A6,7,Infinity
B9,8,2
A6,7,2
A2,7,2
A8,7,Infinity
B9,8,2
A8,7,2
A2,7,2
B8,6,2
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B8,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B8,6,2
A7,5,2
B7,4,2
A8,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
A2,7,2
A7,7,Infinity
B9,8,2
A7,7,2
A2,7,2
B8,6,2
A5,7,Infinity
B9,8,2
A5,7,2
B8,6,2
A7,7,Infinity
B9,8,2
A7,7,2
B8,6,2
A8,5,2
B7,4,2
A9,3,2
B8,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B7,6,-Infinity
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A5,5,2
A2,5,2
A7,5,Infinity
B7,6,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A6,7,Infinity
B8,8,2
A6,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A7,5,2
A2,5,2
A8,5,Infinity
B7,6,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,5,2
A2,5,2
B8,4,2
A5,5,Infinity
B7,6,-Infinity
A2,7,-Infinity
A7,7,Infinity
B8,8,2
A7,7,2
A2,7,2
A8,7,Infinity
B8,8,2
A8,7,2
A2,7,2
B7,6,2
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A5,5,2
B8,4,2
A7,5,Infinity
B7,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
A2,7,2
A6,7,Infinity
B8,8,2
A6,7,2
A2,7,2
A8,7,Infinity
B8,8,2
A8,7,2
A2,7,2
B7,6,2
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A6,7,Infinity
B8,8,2
A6,7,2
B7,6,2
A8,7,Infinity
B8,8,2
A8,7,2
B7,6,2
A7,5,2
B8,4,2
A8,5,Infinity
B7,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B8,8,2
A5,7,2
A2,7,2
A7,7,Infinity
B8,8,2
A7,7,2
A2,7,2
B7,6,2
A5,7,Infinity
B8,8,2
A5,7,2
B7,6,2
A7,7,Infinity
B8,8,2
A7,7,2
B7,6,2
A8,5,2
B8,4,2
A9,3,2
B6,2,2
A10,1,2
B7,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B6,4,-Infinity
A9,5,Infinity
B8,6,-Infinity
A8,7,0
B8,6,0
A9,5,0
B6,4,0
A5,3,0
B8,4,-Infinity
A7,5,Infinity
B9,6,4
A7,5,4
B8,4,4
A9,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
B8,4,4
A5,3,0
A2,3,0
A7,3,Infinity
B8,4,-Infinity
A5,5,Infinity
B9,6,4
A5,5,4
B8,4,4
A9,5,Infinity
B9,6,4
A9,5,4
B8,4,4
A7,3,4
A2,3,4
A9,3,Infinity
B6,4,-Infinity
A5,5,Infinity
B8,6,-Infinity
A8,7,-2
B8,6,-2
A5,5,-2
B6,4,-2
A8,5,Infinity
B8,6,-Infinity
A5,7,-2
B8,6,-2
A8,5,-2
B6,4,-2
A9,3,-2
B8,4,-Infinity
A5,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A5,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A5,5,-2
B8,4,-2
A7,5,Infinity
B6,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B6,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B6,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B6,6,2
A7,5,2
B9,6,-Infinity
A5,7,Infinity
B6,8,2
A5,7,2
B9,6,2
A6,7,Infinity
B6,8,2
A6,7,2
B9,6,2
A8,7,Infinity
B6,8,2
A8,7,2
B9,6,2
A7,5,2
B8,4,2
A8,5,Infinity
B6,6,-Infinity
A5,7,-4
B6,6,-4
A8,5,-4
B9,6,-Infinity
A5,7,Infinity
B6,8,-4
A5,7,-4
B9,6,-4
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,5,-4
B8,4,2
A9,3,-2
A2,3,4
B7,2,4
A5,3,Infinity
B6,4,-Infinity
A2,5,-Infinity
A9,5,Infinity
B8,6,-Infinity
A8,7,0
B8,6,0
A9,5,0
A2,5,0
B6,4,0
A9,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A8,7,0
A2,7,0
B8,6,0
A8,7,Infinity
B9,8,0
A8,7,0
B8,6,0
A9,5,0
B6,4,0
A5,3,0
B8,4,-Infinity
A2,5,-Infinity
A7,5,Infinity
B9,6,4
A7,5,4
A2,5,4
A9,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
A2,5,4
B8,4,4
A7,5,Infinity
B9,6,4
A7,5,4
B8,4,4
A9,5,Infinity
B6,6,-Infinity
A2,7,-Infinity
A8,7,-2
A2,7,-2
B6,6,-2
A8,7,Infinity
B9,8,-2
A8,7,-2
B6,6,-2
A9,5,-2
B9,6,-Infinity
A2,7,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
A2,7,2
A8,7,Infinity
B6,8,-4
A8,7,-4
A2,7,2
B9,6,2
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A9,5,-2
B8,4,4
A5,3,0
B7,2,4
A7,3,Infinity
B8,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B9,6,4
A5,5,4
A2,5,4
A9,5,Infinity
B9,6,4
A9,5,4
A2,5,4
B8,4,4
A5,5,Infinity
B9,6,4
A5,5,4
B8,4,4
A9,5,Infinity
B9,6,4
A9,5,4
B8,4,4
A7,3,4
B7,2,4
A9,3,Infinity
B6,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B8,6,-Infinity
A8,7,-2
B8,6,-2
A5,5,-2
A2,5,-2
A8,5,Infinity
B8,6,-Infinity
A5,7,-2
B8,6,-2
A8,5,-2
A2,5,-2
B6,4,-2
A5,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A8,7,-2
A2,7,-2
B8,6,-2
A8,7,Infinity
B9,8,-2
A8,7,-2
B8,6,-2
A5,5,-2
B6,4,-2
A8,5,Infinity
B8,6,-Infinity
A2,7,-Infinity
A5,7,-2
A2,7,-2
B8,6,-2
A5,7,Infinity
B9,8,-2
A5,7,-2
B8,6,-2
A8,5,-2
B6,4,-2
A9,3,-2
B8,4,-Infinity
A2,5,-Infinity
A5,5,Infinity
B6,6,-Infinity
A8,7,-2
B6,6,-2
A5,5,-2
B9,6,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A5,5,-2
A2,5,-2
A7,5,Infinity
B6,6,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
B6,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B6,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B6,6,2
A7,5,2
B9,6,-Infinity
A5,7,Infinity
B6,8,2
A5,7,2
B9,6,2
A6,7,Infinity
B6,8,2
A6,7,2
B9,6,2
A8,7,Infinity
B6,8,2
A8,7,2
B9,6,2
A7,5,2
A2,5,2
A8,5,Infinity
B6,6,-Infinity
A5,7,-4
B6,6,-4
A8,5,-4
B9,6,-Infinity
A5,7,Infinity
B6,8,-4
A5,7,-4
B9,6,-4
A7,7,Infinity
B6,8,2
A7,7,2
